ホテルID,ホテル名,部屋番号,表示順,CTI連携キー,鍵開けURL,鍵開けCH番号
000000107,ホテル ブルーコースト横須賀,202,7,354202,,
000000107,ホテル ブルーコースト横須賀,203,8,354203,,
000000107,ホテル ブルーコースト横須賀,205,9,354205,,
000000107,ホテル ブルーコースト横須賀,206,10,354206,,
000000107,ホテル ブルーコースト横須賀,207,11,354207,,
000000107,ホテル ブルーコースト横須賀,208,12,354208,,
000000107,ホテル ブルーコースト横須賀,209,13,354209,,
000000107,ホテル ブルーコースト横須賀,210,14,354210,,
000000107,ホテル ブルーコースト横須賀,211,15,354211,,
000000129,ホテル　ホヌ,201　C,1,3565201,,
000000129,ホテル　ホヌ,202　C,2,3565202,,
000000129,ホテル　ホヌ,203　B,3,3565203,,
000000129,ホテル　ホヌ,205　B,4,3565205,,
000000129,ホテル　ホヌ,206　B,5,3565206,,
000000129,ホテル　ホヌ,207　B,6,3565207,,
000000129,ホテル　ホヌ,301　D,7,3565301,,
000000129,ホテル　ホヌ,302　B,8,3565302,,
000000129,ホテル　ホヌ,303　B,9,3565303,,
000000129,ホテル　ホヌ,305　B,10,3565305,,
000000129,ホテル　ホヌ,306　B,11,3565306,,
000000129,ホテル　ホヌ,307　B,12,3565307,,
000000129,ホテル　ホヌ,401　B,13,3565401,,
000000129,ホテル　ホヌ,402　B,14,3565402,,
000000129,ホテル　ホヌ,403　B,15,3565403,,
000000129,ホテル　ホヌ,405　B,16,3565405,,
000000129,ホテル　ホヌ,406　A,17,3565406,,
000000129,ホテル　ホヌ,407　A,18,3565407,,
000000269,HOTEL TIARA Brun,101,1,7775101,,
000000269,HOTEL TIARA Brun,102,2,7775102,,
000000269,HOTEL TIARA Brun,201,3,7775201,,
000000269,HOTEL TIARA Brun,202,4,7775202,,
000000269,HOTEL TIARA Brun,203,5,7775203,,
000000269,HOTEL TIARA Brun,205,6,7775205,,
000000269,HOTEL TIARA Brun,206,7,7775206,,
000000269,HOTEL TIARA Brun,207,8,7775207,,
000000269,HOTEL TIARA Brun,208,9,7775208,,
000000269,HOTEL TIARA Brun,210,10,7775210,,
000000269,HOTEL TIARA Brun,301,11,7775301,,
000000269,HOTEL TIARA Brun,302,12,7775302,,
000000269,HOTEL TIARA Brun,303,13,7775303,,
000000269,HOTEL TIARA Brun,305,14,7775305,,
000000269,HOTEL TIARA Brun,306,15,7775306,,
000000269,HOTEL TIARA Brun,307,16,7775307,,
000000269,HOTEL TIARA Brun,308,17,7775308,,
000000269,HOTEL TIARA Brun,401,18,7775401,,
000000269,HOTEL TIARA Brun,402,19,7775402,,
000000269,HOTEL TIARA Brun,403,20,7775403,,
